,Unnamed: 0,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
0,0,Ford Figo Duratec,PLATINUM,Bangalore,380000,35056,Petrol, 2nd Owner,2015,Ford
1,1,Maruti Suzuki Wagon,PLATINUM,Bangalore,465000,44000,Petrol, 2nd Owner,2016,Maruti
2,2,Hyundai Creta 1.6,PLATINUM,Bangalore,1350000,42917,Petrol, 2nd Owner,2018,Hyundai
3,3,Hyundai Venue -,PLATINUM,Chennai,1019699,16112,Petrol, 2nd Owner,2019,Hyundai
4,4,Honda Jazz -,PLATINUM,Pune,713499,30988,Petrol, 2nd Owner,2017,Honda
5,5,Hyundai i20 -,PLATINUM,Pune,391099,69163,Diesel, 2nd Owner,2013,Hyundai
6,6,Maruti Suzuki Swift,PLATINUM,Pune,474299,42859,Petrol, 2nd Owner,2015,Maruti
7,7,Toyota Corolla Altis,PLATINUM,Pune,1252999,34919,Petrol, 1st Owner,2017,Toyota
8,8,Honda Amaze -,PLATINUM,Pune,393699,44940,Petrol, 2nd Owner,2013,Honda
9,9,Hyundai Elite i20,PLATINUM,Pune,730899,13687,Petrol, 1st Owner,2017,Hyundai
10,10,Maruti Suzuki Alto,PLATINUM,Pune,343099,29848,Petrol, 2nd Owner,2018,Maruti
11,11,Honda Jazz -,PLATINUM,Pune,707599,21426,Petrol, 2nd Owner,2018,Honda
12,12,Maruti Suzuki Baleno,PLATINUM,Pune,688899,68177,Diesel, 2nd Owner,2016,Maruti
13,13,Jeep Compass -,PLATINUM,Pune,1421599,70650,Diesel, 1st Owner,2017,Jeep
14,14,Maruti Suzuki Alto,PLATINUM,Pune,399999,25730,Petrol, 2nd Owner,2017,Maruti
15,15,Kia Seltos -,PLATINUM,Pune,1473299,47096,Petrol, 2nd Owner,2019,Kia
16,16,Toyota Innova 2.5,GOLD,Bangalore,1025000,131000,Diesel, 2nd Owner,2012,Toyota
17,17,Hyundai Elite i20,GOLD,Bangalore,735000,26000,Petrol, 2nd Owner,2016,Hyundai
18,18,Hyundai Creta 1.6,GOLD,Chennai,600000,58460,Diesel, 1st Owner,2019,Hyundai
